Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d090322;b;4;25;13;-76;-90;-62,9317;349,472;18,0075;52,139;149,1936407;41,748;143,98;-35,2745;-49,2745;143,26;1,3095;222,778;11,4;;75;;;;;;;;75;0;;;76;0;;;75;3;8,86106;;75;4;5;;75;4;7,259;;76;0;;;100;6;9,65375;;75;0;;;75;1;;;;;;;
01.09.2022;1;1;P27 ;21;-55;-69;-61,8802;148,178;39,1005;44,5630;300,739651;32,196;120,1;-49,1023;-63,1023;119,24;1,38468;193,024;13,88;regular ;100;;;;;;;;100;1;;;101;1;;;100;4;17,2117;;100;5;6,25;;100;5;7,50931;;100;2;;;150;6;8,87732;;100;1;;;100;1;;;;;;;
02. Sep;1;0;P28 ;23;-66;-80;-57,4734;278,485;71,0974;61,105;219,4193583;26,947;127,18;-33,3807;-47,3807;126,52;1,14147;167,847;6,3;doublet;100;;;;;;;;125;2;;;126;2;;;125;5;7,26069;;125;6;7,5;;125;6;9,73204;;126;3;6,96056;;201;8;11,7806;;125;3;4,94756;;126;0;;;;;;;
02. Sep;2;6;P28 ;20;-56;-70;-60,6683;188,731;15,4347;44,054;233,4221723;24,9939;121,76;-27,8401;-41,8401;121,2;0,921908;172,424;5,56;regular ;376;;;;;;;;151;2;;;151;3;8,60388;;150;5;22,9949;;150;8;10;;147;7;9,32538;;151;4;7,58783;;299;10;14,0095;;150;3;10,6701;;151;1;;;;;;;
;;;;;;;-61,39819167;244,5326923;23,92685462;49,99335;221,1986399;33,74069615;139,0853846;-39,00326923;-52,74425;138,1069231;1,100425077;232,2553846;9,633846154;#DIV/0!;109,7692308;-50,59023;624,82205;-51,92586667;44,00724143;;;;176;2;;;176;4;7,62311;;176;6;22,3747;;175;8;10;;175;7;16,3125;;176;4;8,46668;;400;12;17,9791;;175;5;7,11359;;176;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;2;;;201;5;9,92221;;201;6;34,1763;;200;11;13,75;;200;9;11,7139;;201;6;13,66;;501;12;20,0803;;200;7;9,91951;;201;0;;;;;;;
;;;;;;;;92,8253189;;;;;;;;;;;;;;;;;;;;;225;3;9,59202;;226;6;9,998;;226;7;34,6741;;250;23;28,75;;225;9;13,5993;;226;6;9,93575;;;;;;227;7;10,0448;;226;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251;3;5,30523;;251;6;11,2773;;251;7;37,5537;;276;18;22,5;;250;9;16,1244;;250;7;11,7245;;;;;;251;9;13,702;;251;0;;;;;;;
;WT no morph;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;4;7,99169;;276;8;12,5164;;276;8;37,8501;;301;14;17,5;;275;10;12,9239;;275;7;26,689;;;;;;276;11;16,0668;;276;1;;;;;;;
;Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;AP peak;APtime;Threshold ;Threshold (LP14) ;Thres time;AP dur;maxdV/dT;Delay;Comments;Rheo pA;ADP ;ADP area;fAHP;fAHP time;Burst;Max Freq;300;4;5,22248;;300;9;13,42;;301;8;43,02;;351;16;20;;300;10;14,6173;;301;8;21,1595;;;;;;301;14;17,957;;301;0;;;;;;;
;d270420;a;1;27;13;-58;-72;-61,1945;264,122;52,909;51,133;194;44,9219;141,6;-42,4357;-56,4357;141,1;0,968068;359,344;11,92;;100;-49,3774;663,11;-49,8352;39,8;2,5;4,14;351;4;18,0766;;350;10;15,0403;;351;10;14,8845;;401;17;21,25;;351;11;17,702;;351;8;10,2712;;;;;;351;15;19,421;;351;1;;;;;;;
